Rst,Rsw,RssR,RssL,Rs,ACT[s],Cadence,Age
1.0547,1.0581,1.4835,1.4884,0.9967,0.7080,2.8249,0
1.3552,0.9913,1.7594,1.2870,1.3671,0.7633,2.6201,0
1.0082,1.0353,1.3977,1.4353,0.9738,0.6920,2.8902,0
0.9524,0.9363,1.5200,1.4944,1.0171,0.6893,2.9014,0
0.8895,1.1240,1.3190,1.6667,0.7914,0.7307,2.7372,0
1.1604,0.9883,1.5575,1.3265,1.1741,0.6495,3.0792,0
1.0370,1.0087,1.6092,1.5652,1.0281,0.6930,2.8860,0
0.9938,1.0600,1.5189,1.6200,0.9376,0.6867,2.9126,0
0.9189,0.9792,1.4468,1.5417,0.9385,0.7600,2.6316,0
0.9950,0.9309,1.5238,1.4255,1.0689,0.7260,2.7548,0
0.8407,0.8192,1.4366,1.4000,1.0262,0.7883,2.5370,0
0.9829,1.1168,1.4154,1.6082,0.8801,0.8213,2.4351,0
1.0826,1.0865,1.4757,1.4810,0.9964,0.6593,3.0334,0
0.9754,1.3188,1.3077,1.7681,0.7396,0.6400,3.1250,0
0.9880,0.8347,1.6337,1.3802,1.1837,0.7400,2.7027,0
1.1784,1.1402,1.4836,1.4355,1.0335,0.7633,2.6201,0
0.9854,1.0714,1.5000,1.6310,0.9197,0.6960,2.8736,0
1.0593,0.9891,1.5714,1.4674,1.0709,0.7320,2.7322,0
0.9941,1.0000,1.5225,1.5315,0.9941,0.7400,2.7027,0
1.0186,1.0288,1.5327,1.5481,0.9901,0.7033,2.8436,0
0.9101,1.0263,1.4188,1.6000,0.8868,0.7700,2.5974,0
0.8833,0.9573,1.4196,1.5385,0.9228,0.7633,2.6201,0
0.8398,0.8952,1.3694,1.4597,0.9381,0.7833,2.5532,0
1.0368,1.0000,1.5089,1.4554,1.0368,0.7467,2.6786,0
1.0000,0.9914,1.4522,1.4397,1.0087,0.9240,2.1645,0
0.9676,0.9083,1.5423,1.4478,1.0653,0.8524,2.3464,0
1.0403,1.1566,1.3438,1.4940,0.8994,0.8950,2.2346,0
0.9530,0.7864,1.7531,1.4466,1.2119,0.7360,2.7174,0
0.9947,1.1280,1.4517,1.6463,0.8818,0.6980,2.8653,0
0.9841,1.2451,1.3478,1.7053,0.7904,0.7110,2.8131,0
0.9573,0.9561,1.4286,1.4268,1.0012,0.8020,2.4938,1
0.9452,0.9109,1.5000,1.4455,1.0377,0.7720,2.5907,1
1.1440,0.9368,1.6067,1.3158,1.2211,0.7360,2.7174,1
0.9148,1.0857,1.4123,1.6762,0.8426,0.7300,2.7397,1
1.0850,1.2544,1.3930,1.6105,0.8649,0.8567,2.3346,1
0.9876,1.0700,1.4860,1.6100,0.9230,0.8280,2.4155,1
0.9766,0.7817,1.6892,1.3521,1.2493,0.8433,2.3715,1
1.1354,1.0714,1.6148,1.5238,1.0597,0.8700,2.2989,1
0.9032,1.0000,1.4000,1.5500,0.9032,0.8000,2.5000,1
1.0998,0.9553,1.4589,1.2672,1.1513,0.8538,2.3424,1
1.0252,1.0921,1.4699,1.5658,0.9387,0.7950,2.5157,1
0.9323,0.9833,1.5169,1.6000,0.9481,0.7933,2.5210,1
0.8980,0.9681,1.4505,1.5638,0.9276,0.7400,2.7027,1
0.7771,0.7788,1.5062,1.5096,0.9977,0.7400,2.7027,1
1.0093,1.1029,1.4533,1.5882,0.9151,0.9533,2.0979,1
1.0272,1.0298,1.5599,1.5638,0.9975,0.9540,2.0964,1
1.0395,0.9500,1.6140,1.4750,1.0943,0.7800,2.5641,1
0.8769,1.0872,1.3443,1.6667,0.8066,0.8140,2.4570,1
0.7914,0.9877,1.3750,1.7160,0.8013,0.8050,2.4845,1
1.1000,0.9219,1.6780,1.4063,1.1932,0.6150,3.2520,1
0.9065,0.8125,1.6154,1.4479,1.1157,0.8700,2.2989,1
1.1354,1.0714,1.6148,1.5238,1.0597,0.8700,2.2989,1
1.0148,1.1724,1.3431,1.5517,0.8656,0.7560,2.6455,1
0.9941,0.9588,1.4848,1.4322,1.0368,0.7705,2.5958,1
1.0809,0.9298,1.6887,1.4526,1.1625,0.7333,2.7273,1
0.9058,0.9975,1.4963,1.6478,0.9081,0.7724,2.5894,1
1.0080,1.0244,1.5000,1.5244,0.9840,0.8300,2.4096,1
0.8350,1.1134,1.3241,1.7655,0.7500,0.8200,2.4390,1
1.1899,1.1607,1.4462,1.4107,1.0251,0.8067,2.4793,1
1.3816,1.2500,1.5556,1.4074,1.1053,0.8100,2.4691,1
1.0200,1.0152,1.5224,1.5152,1.0048,0.8867,2.2556,2
1.0383,0.8582,1.6522,1.3657,1.2098,0.8300,2.4096,2
1.0403,1.1566,1.3438,1.4940,0.8994,0.8950,2.2346,2
0.9876,1.3483,1.3250,1.8090,0.7325,0.8360,2.3923,2
0.9573,0.9684,1.5217,1.5395,0.9885,0.7480,2.6738,2
1.3046,1.2302,1.5403,1.4524,1.0605,0.7493,2.6690,2
0.9270,0.9143,1.5208,1.5000,1.0139,0.8040,2.4876,2
1.0176,1.0400,1.5288,1.5625,0.9785,0.8160,2.4510,2
1.1625,0.7698,1.9175,1.2698,1.5101,0.8920,2.2422,2
1.1513,1.0000,1.5909,1.3818,1.1513,0.8800,2.2727,2
1.2406,1.2637,1.4348,1.4615,0.9817,0.8240,2.4272,2
0.9167,0.8512,1.6019,1.4876,1.0769,0.7467,2.6786,2
0.9750,1.0000,1.5543,1.5942,0.9750,0.9200,2.1739,2
1.1125,0.8081,1.7800,1.2929,1.3767,0.8950,2.2346,2
0.8723,0.8396,1.4267,1.3731,1.0390,0.8217,2.4341,2
0.8010,0.9661,1.4474,1.7458,0.8291,0.7733,2.5862,2
1.1353,1.1765,1.5440,1.6000,0.9650,0.9250,2.1622,2
0.9264,1.0693,1.4414,1.6637,0.8664,0.9353,2.1383,2
1.2215,1.6420,1.3684,1.8395,0.7439,0.8560,2.3364,2
1.1765,1.3709,1.4795,1.7239,0.8582,0.8417,2.3762,2
0.7455,0.6000,1.7083,1.3750,1.2424,0.8533,2.3438,2
0.8580,1.0447,1.3333,1.6235,0.8213,0.8690,2.3015,2
1.0000,1.1774,1.4384,1.6935,0.8493,0.9000,2.2222,2
0.9178,1.1264,1.3673,1.6782,0.8148,0.9250,2.1622,2
0.9424,0.8316,1.6582,1.4632,1.1333,0.8700,2.2989,2
1.0534,1.1975,1.4227,1.6173,0.8797,0.8900,2.2472,2
0.8491,1.0119,1.4118,1.6825,0.8391,0.8450,2.3669,2
1.3942,1.0805,1.7059,1.3220,1.2903,0.8183,2.4440,2
1.0466,1.0545,1.5000,1.5114,0.9925,0.9040,2.2124,2
0.9266,1.0000,1.5153,1.6353,0.9266,0.8500,2.3529,2
0.9318,0.9868,1.4578,1.5439,0.9442,0.7550,2.6490,3
0.9732,1.0515,1.3644,1.4742,0.9255,0.7960,2.5126,3
0.9020,1.2247,1.2661,1.7191,0.7365,0.7920,2.5253,3
0.9524,1.1064,1.3462,1.5638,0.8608,0.7920,2.5253,3
1.0333,1.0602,1.4091,1.4458,0.9746,0.8550,2.3392,3
1.2069,0.8760,1.6509,1.1983,1.3777,0.9080,2.2026,3
0.9630,1.0000,1.4918,1.5492,0.9630,0.8133,2.4590,3
1.0000,0.9524,1.5125,1.4405,1.0500,0.8200,2.4390,3
1.1159,1.1116,1.4699,1.4643,1.0038,0.7883,2.5370,3
1.0200,0.7411,1.8434,1.3393,1.3764,0.7800,2.5641,3
0.8836,0.9619,1.4653,1.5952,0.9186,0.8240,2.4272,3
1.0052,1.0240,1.5156,1.5440,0.9816,0.8433,2.3715,3
1.0365,0.7831,1.7324,1.3088,1.3236,0.8083,2.4742,3
0.9260,1.0294,1.4000,1.5564,0.8995,0.8280,2.4155,3
0.9780,0.8788,1.5345,1.3788,1.1129,0.8267,2.4194,3
0.9116,1.1031,1.3738,1.6624,0.8264,0.8160,2.4510,3
1.0345,0.8438,1.6667,1.3594,1.2261,0.7867,2.5424,3
0.9684,0.9841,1.4839,1.5079,0.9840,0.8333,2.4000,3
1.0685,0.9612,1.5758,1.4175,1.1117,0.8080,2.4752,3
1.0048,1.0909,1.4952,1.6234,0.9211,0.8050,2.4845,3
0.8544,0.8408,1.5243,1.5000,1.0162,0.9020,2.2173,3
0.8794,1.4514,1.2205,2.0143,0.6059,0.8580,2.3310,3
0.8235,1.0169,1.4000,1.7288,0.8098,0.7933,2.5210,3
0.7429,1.0228,1.2871,1.7722,0.7263,0.7990,2.5031,3
1.0106,1.1207,1.4615,1.6207,0.9018,0.8200,2.4390,3
0.9301,0.9481,1.4896,1.5185,0.9809,0.7890,2.5349,3
0.8936,0.9881,1.3494,1.4921,0.9044,0.8350,2.3952,3
1.0739,0.9405,1.5949,1.3968,1.1418,0.8150,2.4540,3
1.0645,1.1282,1.4636,1.5513,0.9435,0.8300,2.4096,3
1.1416,1.1233,1.5732,1.5479,1.0163,0.7750,2.5806,3
0.9655,0.9446,1.4286,1.3976,1.0222,0.8070,2.4783,4
1.0238,0.9518,1.6329,1.5181,1.0756,0.8100,2.4691,4
0.8448,1.3929,1.2564,2.0714,0.6065,0.6700,2.9851,4
1.0682,0.8333,1.8000,1.4043,1.2818,0.6893,2.9014,4
0.9396,1.0000,1.3861,1.4752,0.9396,0.8080,2.4752,4
1.0068,0.9417,1.5611,1.4600,1.0692,0.7767,2.5751,4
0.9667,1.0533,1.4684,1.6000,0.9177,0.7700,2.5974,4
1.0254,1.0154,1.5278,1.5128,1.0099,0.7860,2.5445,4
0.8073,1.0410,1.3704,1.7671,0.7755,0.8470,2.3613,4
1.0125,0.8262,1.6759,1.3675,1.2255,0.8547,2.3401,4
1.0087,0.9263,1.6477,1.5132,1.0889,0.7320,2.7322,4
0.9527,0.8500,1.6588,1.4800,1.1208,0.7400,2.7027,4
0.9189,1.0729,1.3204,1.5417,0.8565,0.7960,2.5126,4
1.0994,0.9274,1.6348,1.3790,1.1855,0.7967,2.5105,4
1.0596,1.0667,1.5729,1.5833,0.9934,0.7440,2.6882,4
0.8284,0.9900,1.4141,1.6900,0.8368,0.7960,2.5126,4
1.0714,1.0926,1.5254,1.5556,0.9806,0.7533,2.6549,4
1.0081,1.0560,1.5657,1.6400,0.9547,0.7710,2.5940,4
0.8571,0.8609,1.5758,1.5826,0.9957,0.8560,2.3364,4
0.7714,0.7753,1.4362,1.4433,0.9951,0.8610,2.3229,4
0.9732,0.9682,1.5352,1.5273,1.0052,0.7217,2.7714,4
0.9424,0.9486,1.4692,1.4787,0.9935,0.7327,2.7298,4
1.0667,0.7917,1.7684,1.3125,1.3474,0.8600,2.3256,4
0.9875,0.9015,1.5933,1.4545,1.0954,0.8367,2.3904,4
0.9833,0.7931,1.7101,1.3793,1.2399,0.7800,2.5641,4
1.0199,0.9231,1.6042,1.4519,1.1049,0.8000,2.5000,4
1.0962,1.1786,1.4805,1.5918,0.9301,0.7117,2.8103,4
1.1806,1.1648,1.4340,1.4148,1.0135,0.7880,2.5381,4
0.9737,0.9722,1.4453,1.4430,1.0016,0.7790,2.5674,4
0.7955,0.8455,1.4113,1.5000,0.9409,0.8120,2.4631,4
0.8605,0.9436,1.3913,1.5256,0.9119,0.7580,2.6385,5
0.9448,1.0568,1.4731,1.6477,0.8940,0.7240,2.7624,5
1.0000,0.9777,1.5342,1.5000,1.0228,0.7383,2.7088,5
0.9017,1.0179,1.3684,1.5446,0.8859,0.7533,2.6549,5
1.0882,1.0206,1.4949,1.4021,1.0663,0.7840,2.5510,5
1.1768,1.1330,1.5289,1.4719,1.0387,0.7593,2.6339,5
1.0146,1.0106,1.4632,1.4574,1.0039,0.7560,2.6455,5
1.0401,1.0278,1.4955,1.4778,1.0120,0.7300,2.7397,5
1.0426,1.0222,1.5978,1.5667,1.0199,0.7280,2.7473,5
1.0323,1.0038,1.5660,1.5227,1.0284,0.7053,2.8355,5
0.9083,1.0189,1.5139,1.6981,0.8915,0.7133,2.8037,5
0.9247,1.0733,1.3815,1.6034,0.8616,0.8017,2.4948,5
1.1005,0.9485,1.5698,1.3529,1.1603,0.8833,2.2642,5
1.0066,1.0000,1.5149,1.5050,1.0066,0.8080,2.4752,5
1.0349,1.0333,1.5161,1.5139,1.0015,0.7320,2.7322,5
0.9926,0.9778,1.5227,1.5000,1.0152,0.7120,2.8090,5
0.8676,1.2407,1.3209,1.8889,0.6993,0.8067,2.4793,5
1.0689,1.0800,1.5093,1.5250,0.9897,0.8320,2.4038,5
0.9560,0.9115,1.4684,1.4000,1.0488,0.8283,2.4145,5
1.0267,0.8000,1.7303,1.3483,1.2833,0.8010,2.4969,5
1.0783,0.8452,1.7465,1.3690,1.2757,0.7750,2.5806,5
1.0090,1.1086,1.4433,1.5857,0.9102,0.7380,2.7100,5
1.0000,0.9928,1.4563,1.4458,1.0073,0.8270,2.4184,5
0.9805,0.9477,1.5621,1.5098,1.0346,0.7947,2.5168,5
0.8503,1.0000,1.5000,1.7642,0.8503,0.8480,2.3585,5
0.8177,1.0000,1.4510,1.7745,0.8177,0.8160,2.4510,5
1.0754,1.0795,1.4643,1.4699,0.9962,0.8630,2.3175,5
0.9728,1.1100,1.3694,1.5625,0.8764,0.8440,2.3697,5
1.0667,1.0272,1.5385,1.4815,1.0385,0.8210,2.4361,5
1.0784,1.2609,1.4224,1.6630,0.8553,0.8320,2.4038,5
